id,Votes,Ratings,Recommendation
1,55037,7.8,Recommended
2,45531,5,Not Recommended
3,38917,4.2,Not Recommended
4,74522,8.7,Highly Recommended
5,49199,7.5,Recommended
6,32234,4.6,Not Recommended
7,23294,3.5,Not Recommended
8,2216,5.8,Recommended
9,59236,9,Highly Recommended
10,91414,4.2,Not Recommended
11,28156,5.7,Recommended
12,64886,6.5,Recommended
13,71548,6,Recommended
14,58561,5,Not Recommended
15,79986,7,Recommended
16,22537,2,Not Recommended
17,93323,4.9,Not Recommended
18,61605,5.9,Recommended
19,70525,9,Highly Recommended
20,44911,6.8,Recommended
21,75938,9,Highly Recommended
22,47342,1.3,Not Recommended
23,41377,5,Not Recommended
24,80432,7,Recommended